model,mode,CriticEval,Auto-P
1000,dev,44.00,75.86
1000,test,44.22,75.86
2000,dev,45.78,75.94
2000,test,44.67,75.94
4000,dev,44.44,76.15
4000,test,45.56,76.15
5000,dev,43.78,75.96
5000,test,44.89,75.96
6000,dev,45.56,76.43
6000,test,45.33,76.43
7000,dev,45.53,75.86
7000,test,45.33,75.86
8000,dev,45.11,76.53
8000,test,44.89,76.53
,,,
200,dev,44.00,69.68
200,test,42.44,69.68
400,dev,43.56,73.03
400,test,45.78,73.03
800,dev,48.00,75.60
800,test,45.33,75.60
1000,dev,46.22,76.51
1000,test,44.89,76.61
2000,dev,45.78,77.18
2000,test,48.67,77.18
4000,dev,47.78,77.04
4000,test,47.11,77.04
