model,mode,CriticEval,CriticEval_sub
nlp_tasks,dev,45.56,4.73
nlp_tasks,test,48.00,4.74
general_communication,dev,41.56,4.49
general_communication,test,44.00,4.39
summarization,dev,43.78,4.44
summarization,test,44.44,4.29
creative_writing,dev,45.11,4.45
creative_writing,test,45.78,4.47
functional_writing,dev,44.00,4.51
functional_writing,test,46.89,4.55
rewriting,dev,44.22,4.49
rewriting,test,46.00,4.53
exam_question,dev,44.67,4.65
exam_question,test,45.78,4.71
code,dev,46.22,4.66
code,test,48.44,4.59
